Phase_Relationships,Mohrc_Circle,Effective_stress_and_Pore_pressure,Phase_Relationships,Mohrc_Circle,Effective_stress_and_Pore_pressure,Phase_Relationships,Mohrc_Circle,Effective_stress_and_Pore_pressure
0.25,0.25,0.2,0.75,1,0.833333333,0,0,0
0.75,0,0.6,1,1,0.833333333,0.6,1,1
0.25,0.25,0.8,1,1,0.833333333,0,0,0
0.5,0.75,0.8,0.75,1,0.833333333,0.8,1,0.7
0.5,0,0.8,1,1,1,0.5,1,0.6
0.5,0,0.6,0.75,1,0.833333333,0,0,0
0.25,0.5,0.6,1,1,1,0.8,1,1
0.75,0.25,0.6,0.75,1,1,0,0,0
0.375,0.25,0.2,1,1,0.833333333,0.5,1,0.6
0.75,0.5,1,1,1,1,0.8,1,1
0.25,1,0.8,0.75,1,0.666666667,0.5,1,0.6
0.25,0.5,0.4,0.75,1,1,0.8,1,0.6
0.25,0,0.6,0.75,0.666666667,0.833333333,0.5,1,0.6
0.25,0.5,0.6,1,1,0.666666667,0.8,1,0.8
0.25,0,0.2,1,1,0.833333333,0.5,1,0.6
0.75,0.25,0,1,1,1,0.7,1,0.8
0.25,0.25,0.8,0.75,1,0.666666667,0.8,1,0.6
0.75,0.5,0.4,1,1,0.833333333,0.5,1,0.8
0.5,0.875,1,0.5,1,0.833333333,0.5,1,0.6
0.5,0.25,0.6,0.75,1,1,0.5,1,0.8
0.5,0.25,0,0.75,1,0.833333333,0.8,1,0.4
0.25,0.25,0.6,0.75,1,1,0.5,0,0.6
0.5,0.5,0.2,1,1,0.666666667,0.8,1,0.2
0.25,0.75,0.2,0.75,1,1,0.6,1,0.9
0.5,0.75,0.8,1,1,0.833333333,0.7,1,0.6
